# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
200.0 0.05 0.039526 0.51327 0.00766466091 0.80528 0.73528 1.4933
250.0 0.05 0.049407 0.50803 0.007414748653 0.82531 0.60335 1.45951
300.0 0.05 0.059289 0.51723 0.00765241785 0.89524 0.57224 1.4795
400.0 0.05 0.079051 0.51927 0.007989747855 0.99477 0.57166 1.53865
500.0 0.05 0.098814 0.5507 0.0118615273 1.5707 1.0564 2.1539
650.0 0.05 0.12846 0.53435 0.009221651995 1.3135 0.52085 1.72577
800.0 0.05 0.1581 0.54669 0.009788867133 1.4201 0.42033 1.79057
1000.0 0.05 0.19763 0.51651 0.01567142991 2.4982 1.3763 3.0341
1200.0 0.05 0.23715 0.55735 0.01012838714 1.4653 0.39342 1.81724
1500.0 0.05 0.29644 0.54454 0.011715396922 1.8571 0.42268 2.15143
2000.0 0.05 0.39526 0.56966 0.014141980398 2.2421 0.39186 2.48253
3000.0 0.05 0.59289 0.59879 0.015891168052 2.3375 0.68991 2.65388
45.0 0.05 0.0088933 0.48495 0.01223771325 0.91561 1.8207 2.5235
60.0 0.05 0.011858 0.50917 0.010825667038 0.94974 1.4633 2.12614
70.0 0.05 0.013834 0.51168 0.011246317056 1.612 0.89997 2.19792
90.0 0.05 0.017787 0.48827 0.008646431641 1.273 0.71342 1.77083
120.0 0.05 0.023715 0.48591 0.008343414837 1.256 0.68585 1.71707
150.0 0.05 0.029644 0.50911 0.011680816196 1.7858 1.0791 2.29436
200.0 0.05 0.039526 0.51982 0.0056608398 0.69643 0.29905 1.089
250.0 0.05 0.049407 0.51873 0.00594879564 0.66644 0.50254 1.1468
300.0 0.05 0.059289 0.50663 0.006171158704 0.76539 0.54978 1.21808
400.0 0.05 0.079051 0.51198 0.006360020352 0.87001 0.43555 1.24224
500.0 0.05 0.098814 0.53349 0.009514954197 1.2453 0.98379 1.78353
650.0 0.05 0.12846 0.52044 0.007472789784 1.1154 0.49287 1.43586
800.0 0.05 0.1581 0.52486 0.008036026488 1.2333 0.49146 1.53108
1000.0 0.05 0.19763 0.53197 0.012788186421 1.8914 1.2619 2.40393
1200.0 0.05 0.23715 0.51863 0.008213958214 1.3132 0.45872 1.58378
1500.0 0.05 0.29644 0.54392 0.01000350468 1.5925 0.52542 1.83915
2000.0 0.05 0.39526 0.5157 0.0123639075 2.1694 0.65174 2.3975
3000.0 0.05 0.59289 0.5178 0.01294976376 2.2142 0.85892 2.50092
