# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
200.0 0.08 0.024704 0.4383 0.00691974891 0.76632 0.73509 1.57877
250.0 0.08 0.030879 0.4312 0.00635058424 0.77823 0.56667 1.47277
300.0 0.08 0.037055 0.43642 0.006409875108 0.88167 0.59463 1.46874
400.0 0.08 0.049407 0.43146 0.006822979002 1.0816 0.54019 1.58137
500.0 0.08 0.061759 0.43243 0.010057586669 1.7817 1.0556 2.32583
650.0 0.08 0.080287 0.43531 0.008296616821 1.4526 0.70553 1.90591
800.0 0.08 0.098814 0.45181 0.008780430359 1.5628 0.47892 1.94339
1000.0 0.08 0.12352 0.44019 0.013531132467 2.7164 1.0121 3.07393
1200.0 0.08 0.14822 0.46241 0.008633564628 1.5251 0.39402 1.86708
1500.0 0.08 0.18528 0.48967 0.010382619911 1.8294 0.41193 2.12033
2000.0 0.08 0.24704 0.46439 0.011558434905 2.2358 0.43549 2.48895
3000.0 0.08 0.37055 0.50755 0.013230864155 2.3441 0.561 2.60681
5000.0 0.08 0.61759 0.54571 0.014365870321 2.3366 0.58217 2.63251
35.0 0.08 0.0043231 0.44824 0.020826844064 1.7896 3.5395 4.64636
90.0 0.08 0.011117 0.4361 0.00809868227 1.237 0.92507 1.85707
120.0 0.08 0.014822 0.44081 0.008535183625 1.3529 0.62693 1.93625
150.0 0.08 0.018528 0.4436 0.009949948 1.7233 0.8811 2.243
200.0 0.08 0.024704 0.43827 0.004648817544 0.63726 0.20842 1.06072
250.0 0.08 0.030879 0.44019 0.004748681682 0.6342 0.32857 1.07878
300.0 0.08 0.037055 0.43264 0.005139590144 0.73907 0.45779 1.18796
400.0 0.08 0.049407 0.43587 0.005482590795 0.89816 0.4033 1.25785
500.0 0.08 0.061759 0.44276 0.007974063324 1.3424 0.88042 1.80099
650.0 0.08 0.080287 0.43784 0.006482746608 1.18 0.47592 1.48062
800.0 0.08 0.098814 0.45793 0.007330177096 1.3049 0.5238 1.60072
1000.0 0.08 0.12352 0.44693 0.010740577067 2.0342 1.0111 2.40319
1200.0 0.08 0.14822 0.44089 0.007132630242 1.3686 0.42266 1.61778
1500.0 0.08 0.18528 0.45264 0.00856485408 1.6447 0.55375 1.8922
2000.0 0.08 0.24704 0.44851 0.009622198987 1.9362 0.53752 2.14537
3000.0 0.08 0.37055 0.43286 0.010766873068 2.2572 0.71261 2.48738
5000.0 0.08 0.61759 0.41478 0.010975783926 2.3666 0.82479 2.64617
